accnumber_hash,avg_event_source_faultRef_HASH_count,max_clearance_time,avg_event_source_clearance_time_seconds
a8868ea3924fe14a721a652b3d254bd34dafde88549c204fea76a6ad902a211c,2,54743,76809
2c731d962f2ee2847d3da214a965ae162126758b8d572fb249b684bcd7d3eb81,2,74413,143379
39ffe44ae3a5b96fac01ece3e6f84f24321e875034b03e76a8728022ed036beb,5,64934,204360
9052bd181cb108259b3982ec413ca4ffcdf85b12e258e5518621dcc959c1e5de,1,68604,68604
121c849dcdb2ed015eb0a650733e2fd26101383c039da000f9b2e344217c0056,1,8578,8578
37107238805bde4ecafe8db41cbbf8961a68de41edea70e34ac7208267dd64ba,4,63909,137560
5d73781375e0d2d9b6b6ca933658d83d96a3cc82228b0b22563a72e88002fcec,1,68468,68468
a67abdd8721b15888cf00e9490d264d4140070d63e761dbd0bc2d72730b10a22,1,6918,6918
752901ce2a9484c11f4006ad6b6b91d06304cbd6426f21ad0fcfd54d15d6762e,1,65973,65973
23d5b886050f77b3020e7098f0d6f70e7a4064226cc069bea0030b75989064a7,1,44757,44757
d21e040bc944f63bc5f3eefa335b5cd2b532a2f9c41f40269550646f6d62908b,5,69605,170637
1fa85aaa106b46184a72553c06f8e6c78b341495c7f44916769228ab5e28e01a,1,7750,7750
7df50a3252685851f7d25fe83c104183942f4b017c8c33874be6c714a0cfb754,1,83620,83620
517eb74d012800905e68be2499c37c8293cbbfee997957e59f316e55a9cb9164,4,78014,93213
6a82d7e3825bfcb54ae22c1add4de6f7715fdd4f8f0e0b195c6f2f8408e53377,3,145094,221924
10b12d36dc29e4afd109bc98d2cb7cb6c563d3c901b4221c7fd05daf72d7bbd8,1,95684,95684
592091fe721e8c8951d2d33a857a94b917d7bdbfcf55e7fad2c64742b822530d,3,72076,98491
070d37b105d37ee309b4562eb2c0740b2d201a03e2f0393b94b2913766cef2ec,2,58059,70687
35ce215de646a2fe0e1cb22f6df07341338a29013f40747f48244f9918b585b0,1,62696,38776
bf4ae1965939f57c85d4cb0d7401904611631d2f9c9201ebf3fa5c8a78d35f8b,5,75496,222315
bfa27c105c410133f28f803d3ae4937e7d6ca9177ed4ac405eb143342faad9b2,1,30614,30614
20212bb13f832eeee39965e9cc4bdb11ba4054e731f84dadbeaf1aa556093ce3,3,147562,213360
2e337b30f9aecabd19390f471c4bd5766376666d07440924e4569f91e0cb2ccb,1,15739,15739
090ad54b689dadf676b4201834e37a03e37262199635b0c6b35d4b0d3df46269,1,4767,4767
7d24ed93d1a878c4f8d6356c387d34e2ef58e7872fdfb01bd91b719ad10f00ce,1,46450,46450
33228408bc5c1c03f45f764c44b31eac902006fc0e0ff441b2a11ed01088d6d7,3,28336,65464
75ed29fd7af7349dcac7ecfb16c2228e0522747c30032c3eb0c360fced466e15,2.5,200306,277858.5
b7902e75611f85d928375d8e2caabbea852f837e9e6352a6aa400d50d11a5498,1,46791,46791
2449ee0477a1e30cad2a8516c2598bc876cd495438d342ec52101996c97905b4,1,6902,6902
fd425991094f3e2be25beb55b4f8846ac2f103f40d3e3603d2c6a2aeba57f6bc,1,7469,7469
56c4c647706190f9ab4ddcd7430fc5b6258b5792626a279f23da45aa323fb4e6,2,35713,53944
a95e02772d4cb1ab29e73f92c3d16202cbc99433e39ff55c6f497f4be053727a,1,8454,8454
262c7c7194d0381e77ea81ba22b7fa6dcbe7b834264e07ac12f700139a6672f4,1,47084,47084
668fd2680de8dbd43c2976f890fb2c447825430101b26e9b59f00efcc0238ece,1,13075,13075
ee85629daa19eaf11f6128b507318baeac54045714881b331ea4a079ea1c5bf1,9,64122,211463
7a44e9f14e98c84a48bbae5f48d550e304a4f213b73420f4b0a415b6bc5a6c8c,5,6595,9365
0ec0b7d79722973decb29c5c26f9e857f59439db6d541ca3d0c9d580ef34558f,3,84766,175151
b22c196ad5ffada99ff618d23a9f66da497f805251556cdc6e795bd0deb47a85,2,25554,43132
ca7d922a79ebf4ca6eb36dfc53f3b031a8ed372af8a247508c9272c312cb8c81,5,63986,143595
93365111a1d780193f3115180b421d91850a67e3e1c8e0c698549702706d73da,2,145025,209845
7c6c7f962ba674ede9ef8a0a67551afdd7de8924807787459c5f0a6172ed3374,1,14277,14277
b04613bc6a8b4c09d6684d2090d2f6bec19c152116d5fcdbaa4d986b808676ed,2,69405,75551
0a01644d609f4b95f486fcc69c146afaf99f728a0e451d505147120fd84f9585,3,96908,143559
db1c8c4ce0de6c76e0bda63c40fc5241b4f5b484217feaaeb78d3e9b4f8fe23a,5,81085,226077
afead66b593a78175b0b97c0f46d3515e7d3748eb58feb6975f3a5213975fe7b,1,614333,614333
8c9f5f44ebb3cf72e5066b23ea91f8f6b2c41ae24499a7920909e08abb823566,2,73614,99628
37c2aaff736e809de1a05a3d1760a7bd67c16b1542088bd19e4e818366566c74,6.5,157319,315614
0c54c7fe6910220bee46b74c4791449c5791da7a743fb8cd1efe6f15a1b026ef,2.5,96070,162804
db67d44d70f9723380651d6092e42c58378539bd09d455c20f225366fa252302,2,21582,36647
43969bbd27d55e9c3b3e59b8559e8cbd6adf3da983ed3167ff7c4bd2ca28c41e,1,14305,14305
67b83754580e984b174c1350f5c8ac766a03e7613e31c77929f745d3202741e9,2,12308,18046
4c0aac98592925ebf9a4d2782fa31c939dcff5e477940a911e5f3913522cd5bb,1,49049,48796
a0c561b280706b30d10ce4fa1c430219d58b9cab52193872c5eb909e6e950203,4,168504,354096
144925de6769ef3729e7c4954a751ce6cd847a783f0f378b33502975de80143f,1,6002,6002
9359bed37ac384bcfcf6e4b3dc5f1956dcb8b8f9e174dac1a44026c0865352dc,1,18559,18559
