accnumber_hash,extragb_gb_tot_avg,extragb_event_count_avg,extragb_cost_tot_avg,extragb_gb_tot_cv,extragb_cost_tot_cv
00503783238bb32ef5f930ba7f785f2055bbbcb0724202a6f70ebd9c5b6ba903,10.75,6.75,1037.5,1.042455533,1.058139575
00505b165c3b68f58b58142f5bfef6d1144fbc60d6110415fed7f0111fca0ebd,5,1,425,0.835831521,0.835132812
0050f7cebab5ef162d2210d5a683c56b24d56668364e35683cd6eabaa57aef4e,14,3.333333333,1200,0.257539377,0.265982194
005466c69492e6263095cfc4a8c4d024a885747fa671fd12e268afdaba5b1a60,10,1,850,0.41791576,0.417566406
005675ee77eb6afb3397f41cf4d07c9b71a92ae61b29ca2037771b0762381f06,1,1,100,4.179157603,3.549314453
00574f6cc7a61246b17410905915d9b56e4d3d3c4db2c8030488af7ab745ab5c,2,1,200,2.089578802,1.774657226
0059d8d8c6dc9a8765314efe6b0aaf68712b2de6f747f923cd6190296a121c6d,1,1,100,0,0
005ae7e9df784873cc94661c1cdb00d0f314b4dc5446a266226ccf2246b90dfb,1.5,1,150,0.471404521,0.471404521
005b3edc79f978565dfc733e81bef143236bf86f882da55e91aa640042800f04,6,1,510,0.23570226,0.23570226
00641e681c06dcde05ab9568ce9eca3439de896e0a78166ae78102043562c302,5,1,425,0.835831521,0.835132812
00645ec9d5eca05ad8fa96b119844cbd0f2e9eeb14e122def813c8ae981b3528,17.5,2,1387.5,0.285714286,0.267047857
00665d8fdaf9f21954530dd51268e06164b6cee541ab9f6dd76c873469469af7,13.4,1.4,1139,0.3563384,0.3563384
006913d8841e7e5e8a4779fce66890181ff7fddb14ac6efdc267fdc3784d64df,20,3.6,1690,0.823103882,0.783856184
006cb8656355a3a4dfec41f71a1d1dab9ff998796e65758daedd1b9def2b71c5,5,1,425,0.835831521,0.835132812
006e7fb8e022b6d202a21c608d871e89c8f293f52fb48ddb85d764fe6262d1b1,1.666666667,1.666666667,166.6666667,0.692820323,0.692820323
0070c2ebdfcbb03443bd0a6eaf62b84a92dfae98388659989b812c2540454a65,1,1,100,4.179157603,3.549314453
0071a24e97074d96eca57f96721ff6025b08b065501e643b7b0c03d1b58b94a4,4.5,4.25,450,0.898100419,0.898100419
0071b021087007fff66da8f494fd92a7f3a52032180e6df1b4c6320155921bdf,5,1,425,0.835831521,0.835132812
00730141f862f7001e78d65fc9c8dc80eb9ec47734627ec64d9549ed0c1569f5,10,2,850,0.41791576,0.417566406
007663d350d4a5e3a1f20372079d6ca044f867bd74b7f290711027f58e6651fd,3.5,3,350,0.606091527,0.606091527
0077b9f95f70bf86cf61fec13326c35eb53dc157638c75481941f619665f72e4,1.5,1,150,0.471404521,0.471404521
007994ac0721abd5c26c0e7cb0c54c6c5158b78a9391a69acb2c904a0cb96e12,3,2,300,1.393052534,1.183104818
007fd557e7bfd33e455a2b1382d19d1a10a705ce7b683b71887be555342d5c05,5,1,425,0.835831521,0.835132812
0080e6efe77f9a8880d7e8d41e34e0d878811dd0ca746daa10922e1ad6fc1973,16.6,4.6,1489,1.335937603,1.289898416
0080feb05574b430f52fd1f2846bc6e94e69055063dcc0f02cf1aadb8725e3a6,4,2,400,1.044789401,0.887328613
0081142f747c4caccf5caabe61cacc045af96ecc98fbf91d984dc4c53631aaac,20,1,1500,0.20895788,0.236620964
00856450487a9f188132af1bcf568939bcf829ce2025490cba93d96f33846913,4,2,400,1.044789401,0.887328613
008898938bf689f85913db23f1e7fc0e355ac79e24816d10610f9da9a87db4ef,2,2,200,2.089578802,1.774657226
008ab6847125c4dca2b7a42063133be9a4f906d4b35700c36eb9ab96cc629047,35,3.333333333,2908.333333,0.795394909,0.783147552
008bd3fa64c443803da1efd6a36c5a75e0a608e044369056521547497a2c9b3b,9,8,900,0.464350845,0.394368273
008c7f7cc5e24bcbdbcaf2afc89041eeeed719f09605fdd71b00eaeedf13a011,5.5,1,475,1.157083824,1.116484391
